transaction_id,customer_id,province,age_group,account_type,merchant,category,amount,currency,status,txn_date,txn_month,txn_year
40752b23-b964-41d7-8599-3e85f701aa6e,61a11bc4-8ade-47e4-86fd-07a115d8d925,BC,55+,savings,Tim Hortons,food_and_drink,107.66,CAD,completed,2025-04-23,2025-04,2025
fb679be6-3913-49eb-8465-c1c38f573023,a9283aff-6232-4088-ae9d-bb7264492095,BC,26-35,premium,Notion,subscriptions,25.9,CAD,completed,2025-03-04,2025-03,2025
735dbd9e-586b-4836-84b4-c65a22481f5e,76223920-8303-43d7-af11-a07731d399c3,SK,55+,premium,Petro-Canada,transport,64.61,CAD,pending,2025-11-01,2025-11,2025
edec21ef-1289-40df-99a3-00558f85ab1b,874a846d-85bb-43c8-aa3b-eba5fae17680,MB,26-35,premium,Booking.com,travel,1244.67,CAD,completed,2025-10-08,2025-10,2025
3426778b-417e-43e0-a0a0-2c814c37e7b0,6e2f5e04-d479-4079-a843-926abfc587b1,MB,55+,chequing,Esso,transport,60.13,CAD,completed,2025-05-13,2025-05,2025
a0bfca9e-0155-45f5-96a7-f0e2cb860d23,de75abaf-5aeb-4e00-ac2a-1f08c60d77d3,BC,26-35,premium,Steam,entertainment,169.25,CAD,pending,2025-09-06,2025-09,2025
4c56df51-d989-4223-a0ee-183ae9a9ea87,c60f8064-321b-4885-b310-b1d5c7af766b,BC,26-35,savings,Netflix,entertainment,60.72,CAD,failed,2025-05-27,2025-05,2025
76611568-fd97-4f88-9aed-cb4b0dabada6,ac6772ea-befa-48ad-ab75-653c39a5f012,MB,36-45,savings,City of Victoria,utilities,103.89,CAD,completed,2025-03-12,2025-03,2025
2a93d5f0-68ae-4f17-af6d-0bbfe409649b,e53ec773-85bf-4327-99a3-4d7dc3addff6,QC,26-35,savings,Cineplex,entertainment,81.54,CAD,failed,2025-04-20,2025-04,2025
031d3b1f-40d0-465e-a943-531826cd8c2e,c64bbe06-222d-479b-a884-1c1bb879e736,BC,46-55,premium,Sport Chek,shopping,334.97,CAD,completed,2025-08-01,2025-08,2025
